CGIAR_PET,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_BIO_Max_Temperature_of_Warmest_Month,CHELSA_BIO_Precipitation_Seasonality,ConsensusLandCover_Human_Development_Percentage,EarthEnvTexture_CoOfVar_EVI,EarthEnvTexture_Correlation_EVI,EarthEnvTexture_Homogeneity_EVI,EarthEnvTopoMed_AspectCosine,EarthEnvTopoMed_AspectSine,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Slope,EarthEnvTopoMed_TopoPositionIndex,EsaCci_BurntAreasProbability,GHS_Population_Density,GlobBiomass_AboveGroundBiomass,MODIS_NPP,SG_Depth_to_bedrock,SG_SOC_Content_005cm,SG_Sand_Content_005cm,SG_Soil_pH_H2O_005cm,Site_ID,Maize
1117,209.4660034,5031.150391,248.4660034,14.39665604,60,250,3665,5314,-0.171693549,-0.90435791,1114,4.419683456,5.8125,0,10.76207924,131.9447174,14629.2666,194.547287,94.14775085,38.34999084,53.11676025,M4,1
1164,242.5331421,4762.609863,282.5498657,18.6966877,0,167,1156,5920,0.722892165,0.678209841,392,2.787631273,-1.9375,0,0,195.2520905,14637.13965,200,86.62065125,44.44085312,49.27471542,M5,1
1088,213.5325775,5010.851563,257.5325928,11.99999905,25,346,1799,4000,0.94704628,-0.13518104,943.5,2.024381638,-0.5,0,0,223.1616058,14945.21582,200,109.0969696,42.05664825,51.33726501,M6,1
1136.999878,143.4843445,1704.068481,192.4676361,14.99999905,39,611,3102,3618,0.699819684,-0.714181185,2258.5,16.63697052,1.3125,0.258684635,2.715058804,102.2152863,4460.679688,199.4841309,78.83426666,39.97151184,59.7943306,M7,1
1110,110.6325836,1821.461914,167.6325836,48.2016716,19,568,2036,3781,0.613913894,0.756923199,3171.5,11.12831116,2.1875,0,1.970036626,22.25564384,4104.73291,187.0415802,97.93617249,38.98277283,56.17137909,M8,1
1193,123.3668747,2035.722412,165.3835907,66.38498688,0,276,-559,4644,-0.703403354,-0.597432613,2613,11.49647331,-8.9375,0,2.118935823,37.32799911,5998.983887,192.4642792,46.35083389,44.0625,60.18614197,M9,1
889.999939,81.41723633,1223.573853,137.4172363,37.28495407,19,484,1995,3443,0.267247409,-0.961330175,3579,17.49737167,-5,0,1.948114157,157.2572479,7578.912109,155.3453674,78.31429291,46.35913086,58.42018127,P10,0
1001.000122,86.51643372,2137.939453,129.4997253,67.68328094,20,504,-317,3216,0.002674147,-0.975318491,3397.5,13.34429359,11.625,0,0,82.81422424,5076.39209,174.176651,74.62174988,40.0904541,54.07952118,P11,0
1131,110.5311966,2315.034424,149.5314789,74.77829742,30,458,-1221,3172,-0.099015921,-0.937490761,2828.5,10.25769997,15.625,0,0,58.56124496,7814.568848,187.8261261,74.01098633,41.89665222,54.09289551,P12,0
986.000061,96.53287506,1856.025879,147.5328827,40.69498825,90,802,1130,2036,-0.467036247,0.884222746,3389,5.337017059,3.3125,0,0,11.7975111,9770.932617,185.5885468,78.51470947,52.10922241,58.13409424,P13,0
897.000061,85.08276367,1888.715942,131.0827637,22.99498558,48,1186,4778,2119,-0.799437284,-0.60058856,3484.5,12.88123322,-14.3125,0,0.972672403,17.32640076,8743.760742,156.9263611,97.02308655,46.13941956,57.20085907,P14,0
